class_id,class_name,mean_probability_for_actual_class,mean_probability_when_correct,mean_confidence_when_incorrect,actual_pixels,correct_pixels,incorrect_pixels
0,Background,0.8477171801866697,0.895141539727371,0.3907750343447204,17093729,15946373,1147356
1,No Damage,0.41707041711284315,0.47371855580876665,0.464048925754378,862228,631216,231012
2,Minor Damage,0.15828933832636946,0.3398741301315934,0.4166968229638318,122697,67,122630
3,Major Damage,0.30996503098628064,0.3837232779904564,0.42669875487951636,120969,34112,86857
4,Destroyed,0.5137279977545323,0.6807996063532091,0.5010995446850304,84921,57940,26981
